Study,Description,Category
Wang et al. 2013,“parameter learning algorithm to adapt the model to” an oscillation period of 120 minutes,Optimization
Wang et al. 2013,"“The simulated expression patterns of the Notch target genes under conditions of a constant extracellular signal” & “phase relationships of the Notch target genes, Hes7 and NICD.”",Time course analysis
Wang et al. 2013,"“investigated the influence of the upstream Notch signals on the expressions of the target genes. When knocking out the Dll1 gene, the ligand of the Notch pathway, at time point 120 minutes”, observations: “The expression patterns of Notch target genes” & “The changes of concentration of NICD in the cytoplasm and nucleus and the transcriptional activator”",Perturbation
Wang et al. 2013,"“investigated the influence of the feedback loops on the oscillating expressions of the Notch pathway target genes. After knocking out the Lfng gene at time point 120 minutes”, observations: “expression patterns of the Hes7 gene” & “changes of concentration of NICD”",Perturbation
Wang et al. 2013,"knocking out the Hes7 gene at time point 120 minutes, observations: “expression patterns of the Lfng gene” & “changes of concentrations of NICD and the complex of NICD and RBP-j”",Perturbation
Wang et al. 2013,sensitivity analysis,Sensitivity analysis
Wang et al. 2013,“parameter learning algorithm to adapt the model to” an oscillation period of 120 minutes,Optimization
Wang et al. 2013,"“simulated expression patterns of Wnt target genes when there is a constant extracellular signal” & expression of downstream and upstream Wnt signals (β-catenin-Lef1 / Dsh) & “phase relationships between active Dsh, the GSK3-Axin2 complex, the β-catenin-Lef1 complex and Axin2.”",Time course analysis
Wang et al. 2013,"“extracellular Wnt signals were removed at time point 120 minutes”, observations: “expressions of the Wnt pathway target genes” & “changes of concentration of active Dsh and the β-catenin- Lef1 complex and the expression patterns of the Wnt target genes”",Perturbation
Wang et al. 2013,"“extracellular Wnt signals was doubled”, observations: “expression levels and oscillating period of the target genes”",Time course analysis
Wang et al. 2013,"“knocking out the Axin2 gene at time point 120 minutes”, observations: “expression patterns of the DLL1 gene” & “changes of concentration of Axin2, active Dsh, the GSK3-Axin2 complex and the β-catenin-Lef1 complex”",Perturbation
Wang et al. 2013,sensitivity analysis,Sensitivity analysis
Wang et al. 2013,“parameter learning algorithm to adapt the model to” an oscillation period of 120 minutes,Optimization
Wang et al. 2013,“condition of a constant Wnt ligand concentration”,Time course analysis
Wang et al. 2013,"“knocking out the Dll1 gene at time point 120 minutes”, observations: “expression patterns of the Notch and Wnt target genes”",Perturbation
Wang et al. 2013,"“knocking out the Lfng gene at time point 120 minutes”, observations: “expression patterns of the Hes7 gene and the Wnt target genes”",Perturbation
Wang et al. 2013,"knocking out the Hes7 gene at time point 240 minutes, observations: “expression patterns of the Lfng gene and the Wnt target genes”",Perturbation
Wang et al. 2013,"“Wnt signals were halved”, observations: “changes in gene-expression oscillation periods of the Wnt and Notch pathways”",Time course analysis
Wang et al. 2013,"“upregulated the Wnt signals 10-fold”, observations: “changes in gene expression oscillation periods of the Wnt and Notch pathways”",Time course analysis
Wang et al. 2013,"“knocked out the Wnt signals at time point 200 minutes”, observations: “changes in gene-expression oscillation periods of the Wnt and Notch pathways”",Perturbation
Wang et al. 2013,"“knocked out the Axin2 gene”, observations: “changes in gene expression oscillation periods of the Wnt and Notch pathways”",Perturbation
Wang et al. 2013,"“knocked out the Wnt signals at time point 240 minutes”, observations: “expression patterns of the NkSD1”",Perturbation
Wang et al. 2013,"“knocked out the Dll1 gene at time point 240 minutes”, observations: “expression patterns of the NkSD1”",Perturbation
Wang et al. 2013,"“knocked out the Hes7 gene at time point 120 minutes”, observations: “expression patterns of the NkSD1”",Perturbation
Wang et al. 2013,"“knocked out the NkSD1 gene at time point 120 minutes”, observations: “expression patterns of the target genes of the Wnt and Notch pathways”",Perturbation
Wang et al. 2013,sensitivity analysis,Sensitivity analysis
Chen et al. 2014,“Calibration of Wnt stimulation and β-catenin degradation module”,Optimization
Chen et al. 2014,“number of ABC in cytoplasm under different adhesion condition after 0.5 hr Wnt treatment” (neglecting the effects of membrane organization under cell adhesion),Parameter scan
Chen et al. 2014,"number of ABC and GSK3-phosphor-β-cat spatial under the assumption that “organizations of cadherin clusters during cell adhesion generate a crowding environment for proteins at membrane proximal regions” (“Multiple simulations were carried out by using different values of a1 and a2, so that the effects of cell adhesion can be systematically estimated.”)",Parameter scan
Chen et al. 2014,“explored how adhesion changes β-catenin distributions under Wnt stimulations” by decomposing “the multiple factors caused by adhesion” and adding them “step by step”,Parameter scan
Chen et al. 2014,“transcription feedback caused by [constant] Wnt signaling”,Perturbation
Haack et al. 2015,calibration: “fitted the remaining parameter values of the combined intracellular and membrane model against in vitro measurements we derived from human neuronal progenitor cells (ReNcell VM197)” (with SESSL),Optimization
Haack et al. 2015,“comparing the simulation outcome of Lee et. al. and our model”,Time course analysis
Haack et al. 2015,“simulation results with the adapted model” (“adapt the temporal scale of our model by reducing all parameter values by a constant factor of 2/7”),Perturbation
Haack et al. 2015,“simulation experiments with the WNT concentrations listed in Table 2 and measured the rate of β-catenin accumulation after 2 hours of WNT stimulation”,Parameter scan
Haack et al. 2015,"“Considering the input parameter values that are required to reproduce our experimental data, it appears that only a model parametrized with an initial amount of WNT molecules (nWNT = 90) and a constant WNT synthesis rate (kWsyn = 1.9) after a certain delay of 90 minutes yields the desired simulation result”",Time course analysis
Haack et al. 2015,"“in our model the MbCD treatment translates to a complete removal of lipid rafts, which in turn prevents the raft-dependent LRP6 phosphorylation by CK1γ in response to a WNT stimulus”",Perturbation
Haack et al. 2015,Model calibration “simulation result of the extended WNT/ROS-β-catenin model in untreated control”,Optimization
Haack et al. 2015,“simulation result of the extended WNT/ROS-β-catenin model in raft deficient cells”,Time course analysis
Padala et al. 2017,“values of a few parameters were scanned and modified in such a way that the overall behavior was consistent with the published experimental results”,Optimization
Padala et al. 2017,sensitivity analysis,Sensitivity analysis
Padala et al. 2017,"“Simulation of pERK, pAkt, and β-catenin/TCF under normal conditions”",Time course analysis
Padala et al. 2017,"“Effect of Ras and B-Raf mutation on the activation dynamics of pRaf1, pERK, and β-catenin/TCF” (“mimicked the mutation and sustained activation of Ras and B-Raf by independently deleting the reverse reactions, which deactivat Ras and B-Raf in the network”)",Perturbation
Padala et al. 2017,"“simulated our network with different fold changes (10, 20, and 40) of EGFR expression to examine the effect on the signaling response”",Parameter scan
Padala et al. 2017,"“examined the activation status of ERK and Akt, and the levels of β-catenin/TCF complex formation after removing the receptor degradation reaction”",Perturbation
Padala et al. 2017,"“To model the mutated PI3K activity, we have simulated the network with different Kcat values (2.5, 10 and 20 fold change) of the PIP2 phosphorylation reaction”",Parameter scan
Padala et al. 2017,“constitutive activation of PI3K results in a strong and sustained activation of pAkt”,Perturbation
Padala et al. 2017,“PTEN mutation”,Perturbation
Padala et al. 2017,“inactivating the destruction complex formation reaction”,Perturbation
Haack et al. 2020,“basic internalization model of WNT/LRP6 (...) for CME”,Parameter scan
Haack et al. 2020,“basic internalization model of WNT/LRP6 (...) for CIE”,Parameter scan
Haack et al. 2020,compartment-based WNT/LRP6 model for CME,Parameter scan
Haack et al. 2020,compartment-based WNT/LRP6 model for CIE inside lipid rafts,Parameter scan
Haack et al. 2020,compartment-based WNT/LRP6 model for CIE outside of lipid rafts,Parameter scan
Haack et al. 2020,compartment-based WNT/LRP6 model for CIE inside and outside of lipid rafts,Parameter scan
Haack et al. 2020,“canonical WNT pathway-specific implementation” with CME outside of lipid rafts,Parameter scan
Haack et al. 2020,“canonical WNT pathway-specific implementation” with CIE outside of lipid rafts,Parameter scan
Haack et al. 2020,“canonical WNT pathway-specific implementation” with CIE inside lipid rafts,Parameter scan
Haack et al. 2020,“canonical WNT pathway-specific implementation” with CIE inside and outside of lipid rafts,Parameter scan
Haack et al. 2020,“internalization dynamics for the coupled compartmental model in which WNT is replaced by Dkk1 (including its specific disassociation and association rates)”,Parameter scan
Staehlke et al. 2020,“applied fitting (…) to obtain the corresponding dynamics (of ICAT and SOX17 and their regulatory mechanisms)”,Optimization
Staehlke et al. 2020,"“Simulation result of the fitted model showing the concentration fold change of total β-catenin (blue) and AXIN expression (red) on (A) P5, and (B) Ref”",Time course analysis
